111	169	123	83	64	54	46	43	49	61	61	102
122	99	120	69	79	60	47	50	43	53	48	87
83	63	60	47	44	37	38	34	45	45	45	72
118	74	75	60	46	43	40	36	44	45	42	87
79	170	97	72	53	46	42	39	48	63	44	44
46	66	174	110	64	51	43	46	52	44	46	68
103	100	69	70	68	53	42	37	31	51	64	100
110	130	102	81	64	62	51	60	57	72	70	88
109	110	85	114	67	53	48	39	39	41	54	72
111	152	93	64	53	42	35	30	33	44	53	63
76	69	78	56	39	34	33	25	62	60	62	79
80	79	83	71	49	42	44	34	33	39	52	82
86	86	84	57	40	39	32	39	32	47	44	66
76	167	181	83	67	49	44	36	32	32	50	51
79	139	97	87	56	67	52	38	40	34	42	56
114	80	100	74	49	44	39	31	26	56	57	64
134	141	150	94	69	92	71	61	68	69	81	118
105	143	139	91	77	60	52	51	46	42	53	62
131	104	97	74	50	53	46	39	39	45	59	65
136	196	145	103	82	62	52	44	42	53	65	107
133	150	173	129	83	67	61	55	46	57	53	65
115	161	141	78	58	71	50	45	50	44	57	63
44	70	66	67	58	43	38	39	36	41	62	55
53	62	62	51	63	45	36	33	33	41	35	44
80	50	52	53	41	35	30	30	29	30	62	61
57	70	100	57	60	54	42	52	41	50	57	67
114	77	104	93	59	50	45	39	60	45	62	60
82	75	93	75	88	70	52	44	51	62	87	111
109	128	109	105	62	50	44	46	40	38	56	61
74	132	111	61	54	46	48	45	36	49	56	97
125	163	168	100	73	60	53	44	39	37	48	74
113	142	120	76	59	49	44	43	47	63	64	124
99	121	93	65	50	45	40	36	30	40	58	44
53	92	66	57	49	39	43	35	32	44	46	72
125	99	105	76	77	64	54	44	41	62	63	96
148	102	148	116	77	57	52	55	46	71	115	125
191	276	225	126	91	82	69	56	58	71	81	93
113	79	95	80	57	48	46	48	43	41	36	63
69	111	86	69	50	47	38	37	32	46	77	100
111	121	117	73	56	48	48	44	56	55	66	70
75	92	103	69	55	57	45	55	51	63	77	109
101	148	102	72	47	38	43	45	48	64	65	65
128	114	77	79	74	46	49	38	47	51	55	96
195	98	85	72	50	62	44	37	38	37	34	85
112	129	85	65	53	45	42	33	28	48	86	137
127	140	115	115	94	74	94	72	86	75	72	104
170	96	77	88	60	58	45	41	56	55	66	99
132	77	72	51	56	65	51	33	26	25	44	55
72	65	97	59	55	42	42	48	63	50	79	87
117	117	83	91	53	55	44	45	43	55	56	78
120	66	85	96	58	53	48	44	36	44	63	89
103	77	106	78	56	67	50	56	44	66	68	120
123	123	109	132	106	152	85	71	132	92	85	117
103	56	63	76	69	45	43	48	44	38	44	53
170	162	167	148	93	67	55	47	53	43	44	58
62	124	129	72	63	44	57	55	49	43	60	144
134	132	82	120	108	101	67	55	59	61	45	50
90	159	116	89	92	78	52	45	52	65	65	74
107	158	126	94	72	76	78	65	61	48	51	71
66	48	76	69	52	37	45	42	47	59	46	38
99	105	139	107	71	60	51	42	47	75	40	48
89	67	65	51	59	34	40	38	52	53	85	86
71	116	113	73	51	55	41	35	61	53	29	44
63	81	103	81	61	51	44	30	31	39	51	70
75	205	98	65	59	50	52	42	39	88	71	75
148	268	210	116	89	69	60	54	78	60	72	86
134	74	66	58	51	57	43	35	46	49	75	65
93	115	94	62	61	41	35	33	54	76	53	59
134	131	92	73	51	56	46	32	41	36	40	58
128	104	90	75	46	40	40	41	56	37	69	93
77	97	74	47	47	34	37	35	45	48	41	65
111	114	66	50	47	40	38	34	34	25	59	85
98	60	66	42	33	28	28	26	26	45	45	46
76	102	75	76	57	62	61	39	32	43	48	58
120	99	74	117	74	51	48	36	51	57	65	77
68	132	75	57	46	40	38	30	35	42	76	100
105	69	49	42	41	37	50	28	21	43	65	52
61	120	99	98	59	52	34	43	36	51	80	88
107	138	97	78	56	50	63	50	51	92	76	192
262	122	140	132	75	61	73	46	44	48	54	112
137	90	167	127	72	62	50	48	40	54	48	74
108	66	67	60	59	71	53	36	27	33	35	76
158	123	112	78	55	49	51	36	36	45	54	86
70	29	49	50	35	29	28	27	27	22	27	34
35	67	62	44	38	39	30	21	33	26	49	92
95	92	93	41	40	74	32	31	25	39	58	52
106	56	91	49	50	42	32	34	24	28	45	42
132	90	81	52	40	38	32	39	34	58	88	60
74	83	108	65	71	50	55	39	40	36	43	48