8	17	10	15	8	5	3	3	3	5	7	9
12	7	10	8	8	5	3	3	2	2	5	9
14	5	8	4	3	3	3	2	3	3	4	8
12	4	5	3	2	3	2	1	2	2	1	7
9	14	7	7	4	2	2	2	4	4	3	5
2	7	31	10	6	5	2	2	3	1	2	4
13	15	4	5	7	3	2	1	1	3	4	11
6	15	6	5	3	5	2	3	3	4	5	9
8	5	4	5	3	2	2	1	2	1	3	9
14	17	9	4	4	2	2	2	2	4	5	5
5	3	6	3	2	2	2	1	5	3	4	12
10	3	8	7	3	2	3	2	2	3	4	9
12	10	4	3	2	3	2	3	3	6	4	8
5	19	8	6	5	3	4	3	1	2	2	6
9	8	10	8	3	4	3	1	1	1	3	7
8	4	8	4	3	3	2	1	2	4	5	4
15	7	27	6	5	5	4	5	6	6	7	11
8	16	18	8	7	3	5	3	3	3	6	5
12	11	8	4	4	6	5	5	4	6	5	9
25	16	8	6	7	4	4	4	4	5	7	10
10	9	13	8	6	4	4	4	3	2	1	5
9	15	14	5	3	4	3	3	4	3	4	4
1	6	4	4	4	2	2	2	2	1	8	6
1	2	2	4	6	3	2	3	2	3	3	4
10	2	4	4	4	4	3	3	1	2	5	6
3	7	6	4	4	4	3	4	3	3	7	5
8	8	15	19	6	4	3	1	5	2	3	5
1	5	10	11	8	6	4	3	2	3	15	9
8	5	13	6	5	2	4	4	4	5	7	4
7	10	10	4	3	3	2	3	1	2	3	6
17	20	16	11	8	6	6	2	1	1	3	5
16	15	8	6	5	4	3	3	4	5	5	10
7	6	6	4	3	2	1	0	1	2	3	2
4	14	6	5	4	3	4	2	1	4	4	9
12	13	12	10	10	6	5	3	2	6	3	13
28	7	12	14	8	2	2	3	2	2	12	14
43	33	28	13	8	7	7	3	2	2	4	9
8	6	6	6	3	2	2	2	1	1	2	7
7	7	7	9	4	4	2	2	2	3	7	5
5	3	3	3	2	2	2	3	2	3	4	3
2	8	6	6	5	5	3	4	4	5	8	10
6	7	8	5	4	3	1	2	4	5	4	6
13	12	5	5	4	3	4	4	5	6	9	13
7	2	2	3	2	4	3	2	1	2	3	12
12	19	5	4	3	2	2	1	1	3	10	14
10	9	8	5	5	4	3	4	5	5	4	7
15	2	6	6	2	2	1	2	3	2	5	7
4	8	6	5	3	2	2	1	1	2	3	5
8	7	6	3	3	2	2	3	3	2	5	6
10	7	7	8	3	3	2	2	2	3	7	14
12	5	6	8	2	2	2	2	1	3	6	12
14	6	14	4	3	3	2	2	2	3	4	10
12	5	15	7	6	8	5	2	11	7	6	10
7	2	5	5	5	1	1	2	2	2	2	3
21	13	21	12	5	2	1	1	2	2	4	6
5	11	10	3	4	3	5	2	2	1	2	16
16	9	4	12	6	4	1	2	2	3	3	9
7	13	12	6	6	3	2	2	2	4	3	6
7	11	12	6	4	5	4	3	3	3	5	4
6	4	5	6	3	1	2	2	3	4	4	4
7	7	30	7	8	4	2	2	4	4	4	11
15	3	9	3	4	1	2	2	4	4	8	8
8	16	11	10	3	5	2	2	3	2	3	7
9	2	13	6	6	6	5	1	1	1	4	9
9	19	6	5	5	4	3	2	4	6	7	6
10	27	20	17	6	4	3	3	5	2	8	7
13	6	7	4	4	3	0	1	1	3	3	4
6	12	6	5	5	3	1	1	3	5	4	8
14	9	8	5	3	5	3	2	3	2	3	5
15	10	7	4	3	2	3	2	4	1	5	5
6	7	3	2	2	1	1	1	2	2	3	9
7	7	5	4	4	2	2	1	1	2	4	9
7	1	7	3	2	1	1	1	1	4	8	6
9	13	6	10	5	5	6	2	1	3	4	7
6	7	8	6	1	1	1	2	3	2	6	11
6	9	7	8	6	5	4	3	4	6	11	18
16	11	7	7	6	4	4	3	3	4	5	7
10	17	14	17	9	7	4	3	3	4	8	11
14	13	11	10	8	6	5	4	5	12	10	20
14	8	15	16	6	4	4	3	3	4	6	17
14	5	10	8	5	4	3	2	2	2	2	5
9	5	4	3	3	3	2	1	2	2	2	2
24	11	15	7	5	3	4	2	2	2	4	5
3	2	4	4	3	2	2	2	2	1	2	3
2	5	6	5	3	3	2	1	2	2	3	6
14	8	7	3	3	3	2	2	1	2	5	6
5	3	5	4	3	3	3	2	2	2	2	3
7	6	9	6	5	4	3	2	2	3	6	4
4	9	11	7	10	5	4	4	3	3	4	4