89	224	148	98	66	58	46	45	46	58	69	81
144	164	114	74	67	64	49	43	43	56	68	147
175	119	100	67	57	50	52	45	50	58	61	107
144	61	71	55	43	35	32	29	34	36	41	138
148	272	119	96	65	58	50	46	42	61	61	58
42	69	107	81	54	43	37	36	40	39	57	103
177	135	94	72	71	53	45	39	38	69	89	191
160	174	126	100	87	67	56	57	54	64	76	114
151	113	84	82	61	50	46	40	40	40	64	91
119	129	136	81	62	53	45	40	42	50	104	124
127	94	100	91	64	57	55	45	58	58	73	139
99	113	158	91	78	64	59	49	46	56	76	121
279	209	161	105	82	74	62	58	53	67	67	121
107	181	187	107	80	67	59	51	48	52	59	89
113	143	105	90	66	60	51	45	42	41	61	117
190	94	109	86	65	56	49	43	39	51	67	65
143	132	278	139	97	82	76	70	70	77	84	124
113	142	135	89	73	65	55	48	43	44	58	110
142	169	106	79	63	63	50	43	39	55	53	116
141	164	109	102	78	64	55	46	45	53	119	130
156	166	181	130	93	79	68	59	51	53	50	80
145	163	198	115	83	73	60	52	52	59	87	125
86	111	101	98	70	56	48	42	42	41	76	90
55	63	47	49	45	37	32	28	27	35	44	58
118	61	60	52	39	36	28	25	21	31	46	86
74	62	79	52	47	40	37	35	30	30	36	110
91	83	147	118	71	56	49	42	46	39	62	121
73	84	69	64	68	51	46	39	44	54	66	81
125	65	96	65	47	41	36	38	31	37	92	79
104	137	208	97	80	66	55	49	45	46	55	89
260	264	238	133	97	79	66	57	47	43	56	82
100	245	122	83	68	58	50	43	45	61	88	129
112	110	75	57	46	42	39	36	30	34	54	36
112	163	92	63	51	44	45	37	33	57	60	82
187	258	162	100	98	74	65	56	49	67	83	83
254	107	129	84	65	55	51	43	41	48	116	140
171	174	150	104	77	68	60	52	51	49	87	103
108	71	70	53	42	38	35	35	41	43	33	76
109	74	72	52	37	44	36	33	31	46	76	126
88	71	63	61	46	38	37	38	48	52	54	65
58	34	47	37	31	35	26	23	33	43	82	124
87	132	154	101	63	51	53	46	42	64	119	154
167	195	153	126	98	63	53	51	49	66	79	103
127	104	109	96	79	62	50	45	43	77	79	96
144	118	71	53	54	45	44	36	33	51	90	92
73	97	75	60	58	48	49	49	65	80	103	127
111	69	75	76	55	47	42	35	47	42	70	112
157	134	108	69	58	54	48	40	37	43	71	81
88	281	140	90	76	64	57	55	59	47	87	98
143	104	72	90	60	53	48	43	40	44	56	92
122	93	91	62	52	48	40	39	34	52	92	125
133	85	181	135	82	73	59	57	48	72	77	150
263	197	193	174	124	171	110	87	147	120	131	177
144	94	98	88	81	62	54	49	51	44	55	88
238	230	228	127	96	78	68	62	62	61	83	96
122	137	126	84	71	59	57	59	45	37	41	94
109	95	77	77	60	52	43	37	45	47	53	113
114	192	124	87	71	61	50	43	37	51	67	68
117	115	104	82	57	55	47	42	42	46	54	87
76	55	74	71	58	45	44	40	49	46	66	66
128	116	95	95	64	51	46	38	40	45	49	59
154	97	77	66	54	42	41	38	57	64	79	72
84	83	96	91	57	53	43	39	38	45	47	55
135	59	94	91	89	61	49	42	35	42	52	83
59	136	73	58	49	40	34	29	30	48	73	88
139	102	113	78	64	56	50	46	57	49	94	111
191	118	139	95	77	70	56	50	51	58	72	86
89	130	85	72	60	53	46	46	37	43	57	63
94	87	101	60	51	52	48	40	36	35	44	88
93	80	88	60	46	44	40	38	47	38	49	62
59	57	59	47	35	29	26	25	24	29	51	64
69	76	58	39	36	31	28	27	34	29	56	92
139	92	101	68	52	46	45	41	42	52	61	81
135	149	131	131	85	74	67	54	46	55	66	141
137	94	104	76	68	59	55	49	46	43	62	115
79	92	73	55	49	42	38	38	41	56	79	107
212	107	77	60	51	46	41	38	34	45	61	73
84	149	124	107	69	60	51	45	46	59	96	152
150	171	121	99	74	66	63	52	54	75	89	147
138	84	119	79	62	52	49	40	38	47	88	150
167	81	128	95	68	60	53	46	39	48	60	136
166	110	86	73	72	59	49	42	39	38	65	64
120	97	105	85	61	60	54	42	45	47	59	150
71	47	48	64	40	37	34	32	26	22	46	39
31	52	52	42	32	27	24	20	30	24	49	98
117	87	80	44	37	38	33	29	30	32	79	93
82	58	59	43	42	34	28	24	20	29	37	47
59	67	95	55	38	33	31	35	32	35	64	74
48	54	66	43	34	29	23	18	18	24	39	78