 NUM,...Nombre...,.PV.,.VAA,.TAA,#Uni,Tipo,....Pot,.FPMed.,.QMin..,.QMax..,.VMin..,.VMax..,.VInic.,Min.V+T,..VNC..,..ICP..,...IH..,..FP1..,..Vol1.,..FP2..,..Vol2.,..FP3..,..Vol3.,..FP4..,..Vol4.,..FP5..,..Vol5.,.Area1.,..Vol1.,.Area2.,..Vol2.,.Area3.,..Vol3.,.Area4.,..Vol4.,.Area5.,..Vol5.,.Filt1.,..Vol1.,.Filt2.,..Vol2.,.Filt3.,..Vol3.,.Filt4.,..Vol4.,.Filt5.,..Vol5.,.Cota1.,.Vol1..,.Cota2.,.Vol2..,.Cota3.,.Vol3..,.Cota4.,.Vol4..,.Cota5.,.Vol5..,.Ev1,.Ev2,.Ev3,.Ev4,.Ev5,.Ev6,.Ev7,.Ev8,.Ev9,Ev10,Ev11,Ev12,tini,tfil,.faa,tare,.varea.,tfil,.vfiltr,F.Reg..,pVar,.ICV,C.Vert.,sfal,Cos.O&M,Irxh,RendT&G,.EA.,Niv.Jus,I,JuAr,I,.TurIn1,.TotIn1,.TurIn2,.TotIn2,.TurIn3,.TotIn3,.TurIn4,.TotIn4,.TurIn5,.TotIn5,H,V,.CFuga1,..Def1.,.CFuga2,..Def2.,.CFuga3,..Def3.,.CFuga4,..Def4.,.CFuga5,..Def5.,E,PHidTur,PHidVer
  57,MAUA,  57,  61,  61,   3,   1, 352.08,1.02945,     0.,   339.,  1473.,  2137.,  0.418,    60.,   0,  0.357,3.44594,0.98778,  1473., 1.0057, 1605.8,1.02647, 1771.8, 1.0489,1964.36,1.06762,  2137., 65.359,  1473., 69.513, 1605.8,74.6959,1785.08,79.8591,1977.64, 83.853,  2137.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,624.404,  1473.,626.419, 1605.8,628.755, 1771.8,631.277,1964.36,633.381,  2137., -32,  -9,  13,  60,  87,  80,  86,  80,  56,  16, -21, -16,   0,   0,  61,   1,75.2155,   0,     0.,     0.,   1,   0,     0.,   0,     0.,   0,0.90652,, 513.33,0,  61,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,511.128,    60.,515.379,899.475,517.749,1738.95,518.753,2190.98,518.811,  2643.,0,     0.,     0.
  71,STA CLARA PR,  71,  72,  72,   2,   1,120.168,.786857,     0.,   162.,   169.,   431.,  0.278,    14.,   0,  1.939, 4.1238,0.70008,   169.,0.73734, 216.16,0.78056, 281.66,0.82282, 357.64,0.85727,   431.,10.7482,   169.,11.6854,  195.2,12.9038, 229.26,13.7473, 252.84,20.1205,   431.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,785.202,   169.,789.354, 216.16, 794.17, 281.66,798.879, 357.64,802.718,   431.,  13,  23,  39,  53,  52,  42,  27,  22,   6, -15, -10,   4,   0,   0,  72,   1, 15.428,   0,     0.,     0.,   1,   0,     0.,   0,     0.,   0,0.91478,, 707.19,0,  72,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,705.552,    14., 707.35,419.438,708.551,824.875,710.117,1043.19,714.215, 1261.5,0,     0.,     0.
  72,FUNDAO,  72,  73,  73,   2,   1,120.168,.835927,     0.,   152.,    35.,    35.,     0.,    14.,   0,  0.657,3.05117,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  14,  28,  48,  64,  62,  52,  33,  26,   9, -13,  -9,   6,   0,   0,  73,   1, 1.9375,   0,     0.,     0.,   0,   0,     0.,   0,     0.,  -1,0.90866,, 608.99,0,  73,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,605.298,    14.,610.718, 438.45,611.102,  862.9,611.173,1091.45,611.192,  1320.,0,     0.,     0.
  74,G.B. MUNHOZ,  74,  76,  76,   4,   1,  1676.,1.03095,     0.,  1376.,  1974.,  5779.,  0.465,    80.,   0,   2.41,6.92061,0.81692,  1974.,0.91422, 2658.9,1.01921,3610.15,1.12342, 4789.7,1.19348,  5779.,55.8848,  1974.,60.1871,2164.25, 73.094,  2735.,77.3962,2925.25,141.931,  5779.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,697.793,  1974., 708.65, 2658.9,720.363,3610.15, 731.99, 4789.7,739.806,  5779.,   2,  21,  41,  61,  63,  56,  39,  30,   7, -17, -19, -10,   0,   0,  76,   1,96.3643,   0,     0.,     0.,   1,   0,     0.,   0,     0.,   0,0.91366,, 606.65,0,  76,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,601.977,    80.,606.294,2564.63,610.595,5049.25,612.386,6387.13,614.185,  7725.,0,     0.,     0.
  83,BAIXO IGUACU,  81,,,   3,   1,350.199,.142793,     0.,  2520.,  178.7, 211.92,     0.,   160.,   0,  1.212,5.81453,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0., -38, -10,  25,  57,  79,  81,  72,  61,  37, -11, -38, -50,   0,   0,,   1,30.2656,   0,     0.,     0.,   0,   0,     0.,   0,     0.,  -1,0.92701,, 242.52,0,,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,  240.6,   160.,243.884,4469.66,245.057,8779.32,245.849,11099.9, 246.05,13420.5,0,     0.,     0.
  86,BARRA GRANDE, 215,  91,  91,   3,   1,   690.,1.36856,     0.,   516.,2711.79,4904.45,  0.601,    13.,   0,   0.31,1.81931,1.22055,2711.79,1.28125,3106.47,1.35514,3654.63,1.43094,4290.51,1.49625,4904.45,57.1406,2711.79,59.2604,2843.35,63.6899, 3128.4,67.3416,3369.59,89.9219,4904.45,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,614.337,2711.79,620.944,3106.47,628.984,3654.63,637.233,4290.51,644.341,4904.45, -60, -38,  -2,  55,  91,  98,  98,  85,  48,  -2, -40, -68,   0,   0,  91,   1,73.8125,   0,     0.,     0.,   1,   0,     0.,   0,     0.,   0, 0.9367,, 481.51,0,  91,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,479.974,    13.,481.356,889.687,482.669,1766.38,483.347,2238.44,484.005, 2710.5,0,     0.,     0.
  88,SAO ROQUE,  88,  89,  89,   3,   1,  141.9,.412994,     0.,   330., 336.72, 795.67,     0.,    14.,   0,  1.982,7.16911,0.34301, 336.72,0.37123,410.152,0.40615, 524.89,0.44364,676.343,0.46725, 795.67,21.4531, 336.72,27.5231,437.689,35.8267,589.142,42.1272,713.059,45.8906, 795.67,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,745.406, 336.72,748.585,410.152,752.518, 524.89,756.741,676.343,  759.4, 795.67,   4,  23,  40,  53,  59,  48,  25,   4,  -6, -26, -41, -26,   0,   0,  89,   1,34.5781,   0,     0.,     0.,   1,   0,     0.,   0,     0.,   0,0.90499,, 706.77,0,  89,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,705.863,    14.,707.785,905.702,708.711,1797.41, 709.21,2277.55,709.311, 2757.7,0,     0.,     0.
  89,GARIBALDI,  89,  90,  90,   3,   1,   189.,.383016,     0.,   501.,   232.,   296., 0.1885,    81.,   0,  0.353,1.98721,0.37157,   232.,0.37272,  235.2,0.37386,  238.4,0.38416,  267.2,0.39446,   296.,22.9368,   232.,23.1283,  235.2,26.0008,  283.2,26.5753,  292.8,26.7669,   296.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,701.511,   232.,701.664, 235.84,701.892,  241.6,702.526,  257.6,704.048,   296., -59, -38,  -5,  51,  86,  93,  91,  81,  46,  -4, -39, -64,   0,   0,  90,   1,24.8518,   0,     0.,     0.,   1,   0,     0.,   0,     0.,   0,0.91998,, 660.34,0,  90,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,660.045,    81.,661.885, 1379.7,663.338, 2678.4,664.105, 3377.7,665.097,  4077.,0,     0.,     0.
  90,CAMPOS NOVOS, 216,  91,  91,   3,   1,879.999,1.60025,     0.,   558.,  1320.,  1477.,  0.305,    17.,   0,   0.06,1.49614,1.57741,  1320.,1.58573,1348.26,1.59805,1390.65,1.61296,1442.46,1.62279,  1477.,30.7999,  1320.,31.0198,1348.26,31.3457,1390.65,31.7401,1442.46,    32.,  1477.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0., 652.64,  1320.,653.556,1348.26,654.914,1390.65,656.557,1442.46, 657.64,  1477., -60, -38,  -2,  55,  90,  97,  96,  85,  48,  -2, -39, -67,   0,   0,  91,   1,31.4054,   0,     0.,     0.,   1,   0,     0.,   0,     0.,   0,0.92508,, 478.82,0,  91,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,0,470.101,     0.,472.465,272.025,474.197, 544.05,474.927,690.525,475.548,   837.,0,     0.,     0.
  91,MACHADINHO, 217,  92,  92,   3,   1,  1140.,0.85815,     0.,  1311.,  2283.,  3340., 0.4862,    44.,   0,  0.325,2.41219,0.78742,  2283.,0.82049,2515.54,0.85839,2800.93,0.89646,3107.46,0.92317,  3340.,62.0383,  2283.,66.4214,2536.68,71.4366,2843.21,75.8577, 3128.6,78.9277,  3340.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,463.554,  2283.,467.212,2515.54,471.405,2800.93,475.616,3107.46,478.571,  3340.,  -1,  24,  57,  77,  81,  68,  52,  36,  12, -15, -25, -25,   0,   0,  92,   1,70.9087,   0,     0.,     0.,   1,   0,     0.,   0,     0.,   0,0.92151,, 376.45,0,  92,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,372.021,    44.,376.906,2918.14,380.699,5792.28,382.388,7339.89,383.877, 8887.5,0,     0.,     0.
  92,ITA,  92, 103, 103,   5,   1,  1450.,.910934,     0.,  1590.,  5100.,  5100.,     0.,    49.,   0,  0.353,2.38082,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0., -66, -37,  -2,  62,  97, 111, 110,  94,  60,   4, -39, -75,   0,   0, 103,   1, 141.18,   0,     0.,     0.,   0,   0,     0.,   0,     0.,  -1,0.91346,, 265.42,0, 103,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,261.509,    49.,267.495,3536.45,270.875,7023.89,272.402,8901.74,272.515,10779.6,0,     0.,     0.
  93,PASSO FUNDO,  93,  94,  94,   2,   1,   226.,2.22224,     0.,   102.,   185.,  1589., 0.5835,     1.,   0,  3.317,9.79766,2.15219,   185.,2.17956, 381.56,2.20995,  676.4,2.24147,1083.56,2.27303,  1589.,51.6416,   185.,73.8439, 381.56,98.5884,  676.4,124.331,1083.56,150.221,  1589.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,584.044,   185.,587.203, 381.56,590.712,  676.4, 594.35,1083.56,597.993,  1589., -29,   0,  40,  77,  94,  93,  84,  67,  31, -11, -31, -47,   0,   0,  94,   1,112.163,   0,     0.,     0.,   1,   0,     0.,   0,     0.,   0,0.88305,,  335.6,0,  94,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,0,  335.1,     0.,335.492, 49.725,335.856,  99.45,336.041,126.225,336.217,   153.,0,     0.,     0.
  94,MONJOLINHO, 220, 103, 103,   2,   1,    74.,.559195,     0.,   134., 150.48, 150.48,     0.,     2.,   0,   0.26,1.49677,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0., -69, -40,  -4,  62,  96, 114, 110,  93,  59,   2, -43, -80,   0,   0, 103,   1,5.34375,   0,     0.,     0.,   0,   0,     0.,   0,     0.,  -1,0.91998,, 264.84,0, 103,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,264.929,     2.,265.733,343.575,266.571, 685.15,267.026,869.075,267.477,  1053.,0,     0.,     0.
  95,QUEBRA QUEIX, 286,,,   3,   1,   120.,1.01667,     0.,   114.,   111.,   137., 0.5791,     3.,   0,  1.036,4.40077,0.99372,   111.,1.00438, 116.72,1.01668, 123.74,1.02829, 130.76,  1.038,   137., 4.1543,   111.,4.20674,  112.3,4.25918,  113.6,4.31162,  114.9,5.20313,   137.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,540.936,   111.,542.162, 116.72,543.578, 123.74,544.913, 130.76,546.031,   137.,  11,  32,  58,  78,  78,  65,  49,  34,  14, -14, -18, -10,   0,   0,,   1, 4.6543,   0,     0.,     0.,   1,   0,     0.,   0,     0.,   0,0.88604,, 426.61,0,,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,426.042,     3.,427.092,274.489,427.431,545.978,427.637,692.164,427.678, 838.35,0,     0.,     0.
 101,SAO JOSE, 102, 102, 102,   2,   1,    51.,.190931,     0.,   288., 186.33, 186.33,     0.,    20.,   0,  0.588, 5.5924,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  -5,  21,  57,  81,  95,  82,  66,  44,  13, -19, -34, -21,   0,   0, 102,   1,  23.46,   0,     0.,     0.,   0,   0,     0.,   0,     0.,  -1,0.90816,, 132.64,0, 102,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1, 130.71,    20.,132.184,713.063,133.469,1406.13,134.093,1779.31,134.676, 2152.5,0,     0.,     0.
