24	35	28	29	18	12	8	7	8	12	16	22
24	19	24	17	18	12	8	8	7	9	14	19
28	15	16	12	10	8	6	6	7	10	12	18
26	17	14	10	9	9	8	6	8	6	6	14
17	29	21	16	11	8	7	7	11	11	10	15
10	20	53	32	16	11	9	7	8	7	8	10
23	28	13	12	16	10	8	6	5	8	10	24
21	30	22	17	12	11	9	11	9	14	16	22
22	21	15	16	14	9	8	6	6	7	10	21
31	36	27	14	13	8	6	5	5	8	11	12
13	11	15	11	8	7	6	4	10	9	12	27
27	19	26	23	14	9	8	7	6	10	13	27
28	30	19	16	10	8	6	8	7	13	12	23
17	38	25	15	12	8	8	5	4	4	7	11
19	18	17	19	11	10	8	5	6	5	8	16
27	16	20	15	9	8	6	4	4	8	13	11
30	28	55	28	16	10	10	8	9	11	14	24
18	29	35	19	13	9	8	7	7	6	14	16
23	23	19	14	9	10	8	7	7	9	11	15
37	42	25	24	25	12	8	5	5	7	11	20
22	24	26	22	13	9	7	6	4	5	7	15
25	40	35	18	11	9	7	8	8	7	13	13
8	12	14	14	10	7	6	6	6	7	15	16
10	10	9	14	17	9	7	6	6	6	8	11
24	11	15	12	9	8	5	4	4	4	9	12
13	23	20	14	11	8	6	8	6	7	17	13
20	22	28	36	14	9	8	6	7	6	11	14
12	11	28	22	16	13	8	7	7	9	29	24
22	17	26	19	11	8	6	7	5	5	16	11
21	21	23	14	11	9	8	9	7	7	10	15
38	42	41	26	16	10	9	6	5	5	6	12
31	33	18	12	10	7	6	4	7	8	12	23
18	20	17	10	8	6	6	5	3	4	5	5
7	29	12	9	7	5	5	4	5	6	10	17
23	29	24	16	13	9	7	5	5	12	12	27
51	16	27	34	15	9	8	8	7	11	20	29
81	115	64	26	14	10	9	6	6	7	9	17
19	16	17	16	10	8	7	6	5	5	5	11
15	17	15	15	8	6	5	5	4	9	14	22
18	14	13	9	6	5	6	5	6	7	10	9
9	19	19	15	14	10	7	9	8	13	24	21
16	30	30	18	11	8	6	7	5	11	10	15
32	41	19	17	15	8	8	5	7	8	21	48
40	18	18	16	9	9	6	5	4	7	5	38
61	74	51	25	11	8	6	4	4	6	14	20
19	18	23	20	14	10	10	10	10	12	12	18
44	25	12	22	8	6	5	4	7	6	9	25
28	20	17	13	11	6	4	4	4	3	5	8
12	17	15	12	8	7	9	8	10	6	15	17
26	25	17	20	10	8	6	9	7	9	14	21
30	19	17	19	11	8	7	6	5	7	13	27
28	19	28	22	13	9	7	10	8	7	7	23
29	17	22	18	15	16	10	8	15	14	18	16
14	8	11	11	10	6	5	5	4	6	6	10
30	35	37	17	14	8	6	5	7	5	8	12
19	30	25	14	9	6	9	6	6	5	8	30
26	23	14	30	16	13	9	7	8	8	9	13
20	52	33	22	18	13	10	6	5	8	13	11
21	23	23	19	15	13	10	6	6	5	9	14
11	5	8	19	10	7	6	6	8	8	7	8
15	14	24	23	15	10	8	6	6	9	6	10
37	14	14	9	8	6	6	5	8	8	23	19
15	21	22	18	10	9	5	4	5	7	6	11
13	9	28	22	12	9	6	6	6	6	9	19
15	41	16	9	10	6	5	5	6	9	13	11
17	35	42	21	13	9	6	5	10	6	19	15
27	17	14	9	8	6	5	5	5	7	11	10
20	33	17	13	8	7	6	5	6	10	10	12
24	23	24	16	10	9	8	6	8	7	11	13
35	28	25	16	9	7	7	7	7	4	7	16
16	16	14	12	8	6	6	5	6	6	6	17
18	23	16	11	11	7	11	5	6	5	12	32
26	15	19	11	9	6	5	6	5	8	17	15
19	28	17	18	13	12	12	6	5	6	8	17
21	20	17	14	16	12	10	7	7	5	11	26
15	23	18	19	15	12	9	8	9	14	26	44
39	27	18	16	15	11	10	7	6	9	12	18
24	43	35	41	23	16	9	9	7	11	20	28
35	31	26	24	20	15	12	11	12	30	25	49
35	19	38	39	16	11	10	9	7	9	14	41
34	12	26	21	13	9	6	6	4	6	6	12
23	12	10	9	8	8	5	4	4	4	5	5
58	28	36	18	12	8	10	5	5	5	11	13
8	4	9	10	6	6	5	5	4	4	6	7
4	11	15	12	9	8	5	3	5	4	7	14
35	20	18	8	6	8	4	4	2	4	13	14
13	7	12	11	8	8	6	5	4	4	5	6
18	15	22	15	12	11	8	4	4	8	15	9
9	23	27	18	25	13	9	10	8	8	10	11